fiscal_year,health_authority,hospital_name,procedure_group,waiting,completed,completed_50th_percentile,completed_90th_percentile
2011/12,All Health Authorities,All Facilities,Facial Bone Reconstruction,287.0,778.0,5.0,41.1
2011/12,All Health Authorities,All Facilities,Fallopian Tube/Ovarian Surgery,1265.0,3766.0,6.1,22.1
2011/12,All Health Authorities,All Facilities,Fistula Repair - Non Vascular,53.0,142.0,4.9,19.9
2011/12,All Health Authorities,All Facilities,Foot/Ankle Surgery,567.0,855.0,11.9,35.8
2011/12,All Health Authorities,All Facilities,Foreign Body Removal Surgery,49.0,220.0,2.7,13.5
2011/12,All Health Authorities,All Facilities,Fracture Repair,251.0,1074.0,1.0,15.3
2011/12,All Health Authorities,All Facilities,Free Flap Graft,28.0,110.0,4.0,20.6
2011/12,All Health Authorities,All Facilities,Gastrostomy/Jejunostomy,14.0,115.0,2.3,10.9
2011/12,All Health Authorities,All Facilities,Hand/Wrist Surgery,836.0,2151.0,6.6,28.0
2011/12,All Health Authorities,All Facilities,Hernia Repair - Abdominal,4086.0,11598.0,7.1,30.0
2011/12,All Health Authorities,All Facilities,Hernia Repair - Hiatal,276.0,256.0,12.9,46.7
2011/12,All Health Authorities,All Facilities,Hip Replacement,2218.0,4770.0,14.9,31.6
2011/12,All Health Authorities,All Facilities,Kidney/Bladder Stone Removal,245.0,1448.0,3.3,11.0
2011/12,All Health Authorities,All Facilities,Knee - ACL Repair,944.0,1991.0,8.9,30.9
2011/12,All Health Authorities,All Facilities,Knee - Meniscectomy,736.0,2794.0,7.4,27.0
2011/12,All Health Authorities,All Facilities,Knee Arthroscopy,2872.0,5904.0,7.6,30.5
2011/12,All Health Authorities,All Facilities,Knee Replacement,4163.0,7018.0,17.6,36.9
2011/12,All Health Authorities,All Facilities,Laparoscopy,396.0,1599.0,4.9,19.0
2011/12,All Health Authorities,All Facilities,Laparotomy,75.0,405.0,3.1,12.0
2011/12,All Health Authorities,All Facilities,Lens & Vitreous (non-cataract) Surgery,575.0,3009.0,3.0,17.0
2011/12,All Health Authorities,All Facilities,Ligament Surgery,91.0,179.0,9.7,34.1
2011/12,All Health Authorities,All Facilities,Lipectomy,42.0,107.0,6.0,21.6
2011/12,All Health Authorities,All Facilities,Lung Surgery,78.0,583.0,2.3,5.3
2011/12,All Health Authorities,All Facilities,Male Reproductive Surgery,896.0,2190.0,6.4,27.1
2011/12,All Health Authorities,All Facilities,Mastectomy,360.0,4087.0,2.0,5.6
2011/12,All Health Authorities,All Facilities,Mastoidectomy,150.0,294.0,11.6,41.0
2011/12,All Health Authorities,All Facilities,Myringotomy,619.0,1767.0,6.0,16.7
2011/12,All Health Authorities,All Facilities,Nasal Surgery,2456.0,3238.0,12.9,43.8
2011/12,All Health Authorities,All Facilities,Nerve Surgery,392.0,1025.0,5.3,24.8
2011/12,All Health Authorities,All Facilities,Oral Cavity & Pharynx Surgery,91.0,307.0,6.4,27.2
2011/12,All Health Authorities,All Facilities,Other Ear Surgery,101.0,302.0,11.7,38.1
2011/12,All Health Authorities,All Facilities,Other Eye Surgery,1228.0,4642.0,4.7,26.9
2011/12,All Health Authorities,All Facilities,Other Joint Reconstruction,1084.0,2060.0,7.1,33.9
2011/12,All Health Authorities,All Facilities,Other Orthopaedic Surgery,2861.0,6870.0,6.0,29.7
2011/12,All Health Authorities,All Facilities,Other Urology Surgery,1627.0,7391.0,4.0,14.6
2011/12,All Health Authorities,All Facilities,Parotidectomy,133.0,353.0,8.0,31.2
2011/12,All Health Authorities,All Facilities,Prostate Surgery,1265.0,5356.0,5.0,17.7
2011/12,All Health Authorities,All Facilities,Rectal Surgery,901.0,1699.0,7.3,34.5
2011/12,All Health Authorities,All Facilities,Rib Resection,34.0,83.0,24.1,40.8
2011/12,All Health Authorities,All Facilities,Scope of Chest,57.0,637.0,2.0,4.9
2011/12,All Health Authorities,All Facilities,Shoulder Surgery,2378.0,3392.0,11.1,42.1
2011/12,All Health Authorities,All Facilities,Shunt Insertion/Removal,7.0,28.0,2.9,20.1
2011/12,All Health Authorities,All Facilities,Sinus Surgery,1722.0,2068.0,16.5,65.8
2011/12,All Health Authorities,All Facilities,Skin Surgery,318.0,992.0,3.6,22.6
2011/12,All Health Authorities,All Facilities,Skin Tumour Removal,805.0,2937.0,3.6,18.0
2011/12,All Health Authorities,All Facilities,Sphincterotomy,131.0,195.0,5.6,21.9
2011/12,All Health Authorities,All Facilities,Spinal/Back Surgery,1688.0,3755.0,5.3,34.8
2011/12,All Health Authorities,All Facilities,Tendon Surgery,255.0,750.0,3.9,24.6
2011/12,All Health Authorities,All Facilities,Thoracotomy,17.0,111.0,2.7,6.1
2011/12,All Health Authorities,All Facilities,Thyroidectomy,331.0,1340.0,5.6,24.0
2011/12,All Health Authorities,All Facilities,Tonsillectomy/Adenoidectomy,1676.0,3890.0,10.1,28.6
2011/12,All Health Authorities,All Facilities,Tympanoplasty,587.0,775.0,15.4,48.3
2011/12,All Health Authorities,All Facilities,Uterine Surgery,2675.0,12002.0,5.4,22.7
2011/12,All Health Authorities,All Facilities,Vaginal Repair,754.0,1557.0,7.7,30.5
2011/12,All Health Authorities,All Facilities,Varicose Veins Ligation/Stripping,1827.0,1231.0,10.9,75.0
2011/12,All Health Authorities,All Facilities,Vascular Bypass Graft - Non Cardiac,198.0,643.0,3.1,16.0
2011/12,All Health Authorities,All Facilities,Vascular Surgery - Other,316.0,1715.0,2.3,13.1
2011/12,All Health Authorities,All Facilities,Wound/Laceration Care,330.0,977.0,3.1,21.1
2012/13,All Health Authorities,All Facilities,Abdominoplasty,92.0,146.0,8.9,48.2
2012/13,All Health Authorities,All Facilities,Aortic Aneurysm Repair,63.0,392.0,4.2,12.0
2012/13,All Health Authorities,All Facilities,Appendectomy,25.0,113.0,3.9,11.3
2012/13,All Health Authorities,All Facilities,Bariatric Surgery,248.0,211.0,9.9,229.0
2012/13,All Health Authorities,All Facilities,Biopsy in OR,357.0,2484.0,2.7,11.6
2012/13,All Health Authorities,All Facilities,Bladder Surgery,1274.0,5422.0,4.0,20.9
2012/13,All Health Authorities,All Facilities,Bowel Resection,431.0,2886.0,3.0,12.3
2012/13,All Health Authorities,All Facilities,Breast Biopsy,183.0,1836.0,2.3,6.4
2012/13,All Health Authorities,All Facilities,Breast Reconstruction,738.0,1241.0,6.3,35.4
2012/13,All Health Authorities,All Facilities,Breast Reduction,1395.0,1808.0,10.6,41.4
2012/13,All Health Authorities,All Facilities,CSF Drainage,12.0,366.0,0.4,1.9
2012/13,All Health Authorities,All Facilities,Cataract Surgery,12461.0,48567.0,5.6,21.1
2012/13,All Health Authorities,All Facilities,Cholecystectomy,1548.0,5762.0,5.3,22.1
2012/13,All Health Authorities,All Facilities,Colostomy/Ileostomy,207.0,691.0,5.3,23.7
2012/13,All Health Authorities,All Facilities,Cone Biopsy,66.0,525.0,3.4,8.7
2012/13,All Health Authorities,All Facilities,Cranial Surgery,139.0,961.0,1.9,10.3
2012/13,All Health Authorities,All Facilities,Cyst/Ganglion Removal,445.0,1226.0,6.3,25.0
